trial_dir,trial_slug,filename,size_bytes,ext,date_tag,sha256,role,domain,n_rows,n_cols,sheet_count,error,preamble
10013-clinical,10013,Appendix_A.xlsx,44051,xlsx,,cdc28638b53a4a35e3b922ff28a00b9508531d6bedd1d1dda2566603730f0640,appendix,,257,9,3,,
10013-clinical,10013,CIDC_Annotation.xlsx,73956,xlsx,,adbefb280f577f89d83f0bb88517f2994cc3b006adbb78058e16ff2c4dd64a02,cidc_annotation,,17,9,1,,
10013-clinical,10013,CIDC_Annotation_090123.xlsx,74402,xlsx,,fb6de97d5334123731b1aed1d0868b05c7d61d64d12d06382ecb63eb549cf535,cidc_annotation,,18,9,1,,
10013-clinical,10013,CIDC_Annotation_2024-11-08.xlsx,74611,xlsx,2024-11-08,421f6b1821d3fe1cd5724785c436fe96c843586cafa7eb30abc58ba7a4454850,cidc_annotation,,20,9,1,,
10013-clinical,10013,DataDictionary.xlsx,15185,xlsx,,739c68a48fceb6c4fbfa6c602f2ef529f662930d8b029633bdaa9d224d77b16c,data_dict,,167,9,1,,
10013-clinical,10013,DataDictionary_05112023.xlsx,23991,xlsx,05112023,dc6019e786f4c3b144175f1509b813a1ddee0c14a9571baf16c63d0447ebfef0,data_dict,,167,9,1,,
10013-clinical,10013,DataDictionary_10-8-2024.xlsx,25132,xlsx,,117ba8fcfa7612b91755be44d9149f938f94c2af35f8ee811decf779b2b0f3c0,data_dict,,185,9,1,,
10013-clinical,10013,additional_treatment_2023-05-22.csv,34098,csv,2023-05-22,2dd9983ad8b2b9b2e6f35d44ccee2cae9ac8af6a2d40af6f43c6588df4ae6c9c,domain,treatment,920,4,0,,True
10013-clinical,10013,additional_treatment_2023-09-13.csv,23466,csv,2023-09-13,6b41b9a778de698f281a65707d99851d98124a21a20c40b45d02fa0191825d88,domain,treatment,920,3,0,,True
10013-clinical,10013,adverse_event_2023-05-22.csv,203311,csv,2023-05-22,074533f6bdd48c1e182937a3d8fe5ef9b4b39e91ca0f513231ee6487464048b9,domain,adverse_event,2373,13,0,,True
