trial,field,is_template_trial,n_rows,n_populated,n_NA,n_flagged,match_rate_vs_template,status
10013,BOR,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,BOR.binary,False,196,0,196,196,,ALL_NA
10013,Cimac.id,False,196,0,196,196,,ALL_NA
10013,Collection_Event,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,Collection_Event_alt,False,196,0,196,196,,ALL_NA
10013,age,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,arm,False,196,0,196,196,,ALL_NA
10013,bor_bin,False,196,0,196,196,,ALL_NA
10013,os_stat,False,196,0,196,196,,ALL_NA
10013,os_time,False,196,0,196,196,,ALL_NA
10013,pfs_bin,False,196,0,196,196,,ALL_NA
10013,pfs_stat,False,196,0,196,196,,ALL_NA
10013,pfs_time,False,196,0,196,196,,ALL_NA
10013,phase,False,196,0,196,196,,ALL_NA
10013,race,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,sex,False,196,196,0,0,,POPULATED_FROM_SOURCE
10013,treatment,False,196,196,0,0,,POPULATED_FROM_SOURCE
10026,BOR,True,214,198,16,16,1.0,OK
10026,BOR.binary,True,214,196,18,18,0.7476635514018691,PARTIAL
10026,Cimac.id,True,214,214,0,0,,POPULATED_FROM_SOURCE
10026,Collection_Event,True,214,214,0,0,,POPULATED_FROM_SOURCE
10026,Collection_Event_alt,True,214,214,0,0,1.0,OK
10026,age,True,214,207,7,7,1.0,OK
10026,arm,True,214,207,7,7,1.0,OK
10026,bor_bin,True,214,196,18,18,0.8317757009345794,MOSTLY_OK
10026,os_stat,True,214,198,16,16,1.0,OK
10026,os_time,True,214,198,16,16,1.0,OK
10026,pfs_bin,True,214,196,18,18,1.0,OK
10026,pfs_stat,True,214,198,16,16,1.0,OK
10026,pfs_time,True,214,198,16,16,1.0,OK
10026,phase,True,214,0,214,214,1.0,OK
10026,race,True,214,207,7,7,1.0,OK
10026,sex,True,214,207,7,7,1.0,OK
10026,treatment,True,214,214,0,0,0.9672897196261684,OK
10104,BOR,True,213,205,8,8,0.9577464788732394,OK
10104,BOR.binary,True,213,205,8,8,0.92018779342723,MOSTLY_OK
10104,Cimac.id,True,213,213,0,0,,POPULATED_FROM_SOURCE
10104,Collection_Event,True,213,213,0,0,,POPULATED_FROM_SOURCE
10104,Collection_Event_alt,True,213,213,0,0,1.0,OK
10104,age,True,213,213,0,0,1.0,OK
10104,arm,True,213,213,0,0,1.0,OK
10104,bor_bin,True,213,205,8,8,0.9671361502347418,OK
10104,os_stat,True,213,212,1,1,0.92018779342723,MOSTLY_OK
10104,os_time,True,213,212,1,1,0.812206572769953,MOSTLY_OK
10104,pfs_bin,True,213,209,4,4,0.9671361502347418,OK
10104,pfs_stat,True,213,212,1,1,1.0,OK
10104,pfs_time,True,213,212,1,1,0.9342723004694836,MOSTLY_OK
10104,phase,True,213,0,213,213,1.0,OK
10104,race,True,213,213,0,0,1.0,OK
10104,sex,True,213,213,0,0,1.0,OK
10104,treatment,True,213,213,0,0,1.0,OK
14C0059G,BOR,False,23,22,1,1,,POPULATED_FROM_SOURCE
14C0059G,BOR.binary,False,23,22,1,1,,POPULATED_FROM_SOURCE
14C0059G,Cimac.id,False,23,0,23,23,,ALL_NA
14C0059G,Collection_Event,False,23,23,0,0,,POPULATED_FROM_SOURCE
14C0059G,Collection_Event_alt,False,23,0,23,23,,ALL_NA
14C0059G,age,False,23,0,23,23,,ALL_NA
14C0059G,arm,False,23,0,23,23,,ALL_NA
14C0059G,bor_bin,False,23,14,9,9,,POPULATED_FROM_SOURCE
14C0059G,os_stat,False,23,23,0,0,,POPULATED_FROM_SOURCE
14C0059G,os_time,False,23,8,15,15,,MOSTLY_FLAGGED
14C0059G,pfs_bin,False,23,15,8,8,,POPULATED_FROM_SOURCE
14C0059G,pfs_stat,False,23,23,0,0,,POPULATED_FROM_SOURCE
14C0059G,pfs_time,False,23,15,8,8,,POPULATED_FROM_SOURCE
14C0059G,phase,False,23,0,23,23,,ALL_NA
14C0059G,race,False,23,19,4,4,,POPULATED_FROM_SOURCE
14C0059G,sex,False,23,23,0,0,,POPULATED_FROM_SOURCE
14C0059G,treatment,False,23,23,0,0,,POPULATED_FROM_SOURCE
ABTC1603,BOR,True,148,0,148,148,1.0,OK
ABTC1603,BOR.binary,True,148,148,0,0,1.0,OK
ABTC1603,Cimac.id,True,148,148,0,0,,POPULATED_FROM_SOURCE
ABTC1603,Collection_Event,True,148,148,0,0,,POPULATED_FROM_SOURCE
ABTC1603,Collection_Event_alt,True,148,148,0,0,1.0,OK
ABTC1603,age,True,148,145,3,3,1.0,OK
ABTC1603,arm,True,148,145,3,3,1.0,OK
ABTC1603,bor_bin,True,148,0,148,148,1.0,OK
ABTC1603,os_stat,True,148,145,3,0,1.0,OK
ABTC1603,os_time,True,148,145,3,0,1.0,OK
ABTC1603,pfs_bin,True,148,142,6,6,0.9797297297297296,OK
ABTC1603,pfs_stat,True,148,145,3,0,0.8986486486486487,MOSTLY_OK
ABTC1603,pfs_time,True,148,145,3,0,1.0,OK
ABTC1603,phase,True,148,145,3,3,1.0,OK
ABTC1603,race,True,148,145,3,3,1.0,OK
ABTC1603,sex,True,148,145,3,3,1.0,OK
ABTC1603,treatment,True,148,148,0,0,0.9797297297297296,OK
CIMAC-10021,BOR,True,154,154,0,0,1.0,OK
CIMAC-10021,BOR.binary,True,154,154,0,0,1.0,OK
CIMAC-10021,Cimac.id,True,154,154,0,0,,POPULATED_FROM_SOURCE
CIMAC-10021,Collection_Event,True,154,154,0,0,,POPULATED_FROM_SOURCE
CIMAC-10021,Collection_Event_alt,True,154,154,0,0,1.0,OK
CIMAC-10021,age,True,154,154,0,0,1.0,OK
CIMAC-10021,arm,True,154,154,0,0,1.0,OK
CIMAC-10021,bor_bin,True,154,154,0,0,1.0,OK
CIMAC-10021,os_stat,True,154,154,0,0,1.0,OK
CIMAC-10021,os_time,True,154,154,0,0,1.0,OK
CIMAC-10021,pfs_bin,True,154,153,1,1,1.0,OK
CIMAC-10021,pfs_stat,True,154,154,0,0,1.0,OK
CIMAC-10021,pfs_time,True,154,154,0,0,1.0,OK
CIMAC-10021,phase,True,154,154,0,0,1.0,OK
CIMAC-10021,race,True,154,154,0,0,1.0,OK
CIMAC-10021,sex,True,154,154,0,0,1.0,OK
