trial,harmonized_field,n_cells,source_files,source_columns,extraction_methods,min_confidence,median_confidence,max_confidence,n_unique_values,n_NA
10013,BOR,196,response_updated_2024-11-07.csv,D1,direct,0.85,0.85,0.85,1,0
10013,BOR.binary,196,DERIVED:BOR,BOR,derived_bor_binary_no_BOR,0.0,0.0,0.0,1,196
10013,Cimac.id,196,specimen_collection_2023-09-13.csv,(no sample-level Cimac.id in 10013 source files),cimac_id_unavailable,0.0,0.0,0.0,1,196
10013,Collection_Event,196,specimen_collection_2023-09-13.csv,M7,constructed_from_source,0.95,0.95,0.95,4,0
10013,Collection_Event_alt,196,(no map yet),Collection_Event,value_map_miss,0.3,0.3,0.3,1,196
10013,age,196,demographics_2023-09-13.csv,A5,direct_numeric,0.95,0.95,0.95,34,0
10013,arm,196,(no source mapping),arm,no_source,0.3,0.3,0.3,1,196
10013,bor_bin,196,DERIVED:BOR.binary+pfs_time,"BOR.binary,pfs_time",bor_bin_rule_unclear,0.3,0.3,0.3,1,196
10013,cimac_part_id,196,demographics_2023-09-13.csv,cimac_part_id,constructed_from_source,1.0,1.0,1.0,51,0
10013,os_stat,196,(no source mapping),os_stat,no_source,0.3,0.3,0.3,1,196
10013,os_time,196,(no source mapping),os_time,no_source,0.3,0.3,0.3,1,196
10013,pfs_bin,196,DERIVED:pfs_stat+pfs_time,"pfs_stat,pfs_time",pfs_bin_rule_unclear,0.3,0.3,0.3,1,196
10013,pfs_stat,196,(no source mapping),pfs_stat,no_source,0.3,0.3,0.3,1,196
10013,pfs_time,196,(no source mapping),pfs_time,no_source,0.3,0.3,0.3,1,196
10013,phase,196,(no source mapping),phase,no_source,0.3,0.3,0.3,1,196
10013,race,196,demographics_2023-09-13.csv,A2,direct;value_map_trial,0.9,0.95,0.95,5,0
10013,sex,196,demographics_2023-09-13.csv,A3,value_map_trial,0.95,0.95,0.95,1,0
10013,treatment,196,CONFIG:trial_constants,treatment,trial_constant,0.95,0.95,0.95,1,0
10013,trial,196,CONFIG:trial_dir_to_name,trial,trial_constant,1.0,1.0,1.0,1,0
10026,BOR,214,response_04282024.csv,D3_Alt_1;cimac_part_id_LOOKUP,direct;lookup_miss,0.0,0.95,0.95,7,16
10026,BOR.binary,214,DERIVED:BOR,BOR,derived_bor_binary;derived_bor_binary_no_BOR,0.0,0.95,0.95,4,54
10026,Cimac.id,214,TEMPLATE_ANCHOR,Cimac.id,template_anchor_only,1.0,1.0,1.0,214,0
10026,Collection_Event,214,TEMPLATE_ANCHOR,Collection_Event,template_anchor_only,1.0,1.0,1.0,9,0
10026,Collection_Event_alt,214,CONFIG:collection_event_alt_map,Collection_Event,value_map_collection_event,0.95,0.95,0.95,7,0
10026,age,214,demographics_04282024.csv,A5;cimac_part_id_LOOKUP,direct_numeric;lookup_miss,0.0,0.95,0.95,28,7
10026,arm,214,demographics_04282024.csv,A3 (copied → arm; template bug),template_bug_arm_from_sex,0.0,0.85,0.85,3,7
10026,bor_bin,214,DERIVED:BOR.binary+pfs_time,"BOR.binary,pfs_time",bor_bin_rule_unclear,0.3,0.3,0.3,1,214
10026,cimac_part_id,214,TEMPLATE_ANCHOR,cimac_part_id,template_anchor_only,1.0,1.0,1.0,55,0
10026,os_stat,214,response_04282024.csv,D9;cimac_part_id_LOOKUP,lookup_miss;value_map_trial,0.0,0.95,0.95,3,16
10026,os_time,214,response_04282024.csv,D10;cimac_part_id_LOOKUP,direct_numeric;lookup_miss,0.0,0.95,0.95,41,16
10026,pfs_bin,214,DERIVED:pfs_stat+pfs_time,"pfs_stat,pfs_time",pfs_bin_rule_unclear,0.3,0.3,0.3,1,214
10026,pfs_stat,214,response_04282024.csv,D6;cimac_part_id_LOOKUP,lookup_miss;value_map_trial,0.0,0.95,0.95,3,16
10026,pfs_time,214,response_04282024.csv,D7;cimac_part_id_LOOKUP,direct_numeric;lookup_miss,0.0,0.95,0.95,40,16
10026,phase,214,CONFIG:trial_constants,phase,trial_constant_NA,0.95,0.95,0.95,1,214
10026,race,214,demographics_04282024.csv,A2;cimac_part_id_LOOKUP,direct;lookup_miss;value_map_global,0.0,1.0,1.0,4,7
10026,sex,214,demographics_04282024.csv,A3;cimac_part_id_LOOKUP,direct;lookup_miss,0.0,1.0,1.0,3,7
10026,treatment,214,CONFIG:trial_constants,treatment,trial_constant,0.95,0.95,0.95,1,0
10026,trial,214,CONFIG:trial_dir_to_name,trial,trial_constant,1.0,1.0,1.0,1,0
10104,BOR,213,10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv;10104_armc_response_pfsos_treatment_update16mar2023.2023-04-04.csv,best_response,direct,0.0,0.95,0.95,5,8
